X,Y,business_id,account_name,dba,street_address,zip_code,group_,type,subtype,statute,number,status,ownership_transferable,location_transferable,ObjectId
-82.9444989040313,42.4234814521636,3300,CLUB ARMANE LTD.,CLUB ARMANE,11233 Morang Dr,48224,Retail - On Premises,Class C,Regular,,L-000005052,Escrow,Y,Y,1
-82.9444989040313,42.4234814521636,3300,CLUB ARMANE LTD.,CLUB ARMANE,11233 Morang Dr,48224,Retail - Off Premises,Specially Designated Merchant,,,L-000012614,Escrow,Y,Y,2
-83.0530526039619,42.3337873155318,3430,"NICK'S GASLIGHT, INC.",NICK'S GASLIGHT,441 Grand River Ave,48226,Retail - On Premises,Class C,Regular,,L-000005257,Active,Y,Y,3
-83.1813231673488,42.4264794351095,3467,MOORE'S JUANITA LOUNGE INC.,WALL STREET LOUNGE,18458 James Couzens Fwy,48235,Retail - On Premises,Class C,Regular,,L-000005310,Active,Y,Y,4
-83.1813231673488,42.4264794351095,3467,MOORE'S JUANITA LOUNGE INC.,WALL STREET LOUNGE,18458 James Couzens Fwy,48235,Retail - Off Premises,Specially Designated Merchant,,,L-000006568,Active,Y,Y,5
-83.1964574595379,42.339807389444,3511,"MR. C'S ENTERPRISES, INC.",MR. C'S BAR & GRILL,6615 Greenfield Rd,48228,Retail - On Premises,Class C,Regular,,L-000005375,Active,Y,Y,6
-83.1964574595379,42.339807389444,3511,"MR. C'S ENTERPRISES, INC.",MR. C'S BAR & GRILL,6615 Greenfield Rd,48228,Retail - Off Premises,Specially Designated Merchant,,,L-000009195,Active,Y,Y,7
-83.0403594772692,42.3345526494335,3518,"STEPTINA, INC.",FLOOD'S,731 Saint Antoine St,48226,Retail - On Premises,Class C,Regular,,L-000005386,Active,Y,Y,8
-83.0403594772692,42.3345526494335,3518,"STEPTINA, INC.",FLOOD'S,731 Saint Antoine St,48226,Retail - Off Premises,Specially Designated Merchant,,MCL 436.1533(5)(a),L-000435236,Active,Y,N,9
-83.1596166020135,42.3663611415608,3537,CAPERS AND ASSOCIATES INCORPORATED,DOUG'S LOUNGE,10070 W Chicago,48204,Retail - On Premises,Class C,Regular,,L-000005419,Escrow,Y,Y,10
-83.1387929647198,42.3603743038062,3573,"VARSITY LOUNGE, INC.",VARSITY LOUNGE,8867 Livernois Ave,48204,Retail - On Premises,Class C,Regular,,L-000005484,Escrow,Y,Y,11
-83.2317495146129,42.3865704256352,3575,"HAYDAYS, INC.",FOUR WINDS LOUNGE,19338 Schoolcraft,48223,Retail - On Premises,Class C,Regular,,L-000005488,Active,Y,Y,12
-83.2317495146129,42.3865704256352,3575,"HAYDAYS, INC.",FOUR WINDS LOUNGE,19338 Schoolcraft,48223,Retail - Off Premises,Specially Designated Merchant,,,L-000014808,Active,Y,Y,13
-83.2850029687722,42.4422877777599,3685,"SAHABI CONVENIENCE STORE, INC.",OPYUM LOUNGE,24587 W 8 Mile Rd,48219,Retail - On Premises,Class C,Regular,,L-000005674,Active,Y,Y,14
-83.2850029687722,42.4422877777599,3685,"SAHABI CONVENIENCE STORE, INC.",OPYUM LOUNGE,24587 W 8 Mile Rd,48219,Retail - Off Premises,Specially Designated Merchant,,,L-000013886,Active,Y,Y,15
-83.1065646768033,42.4202247880119,3687,"ERIANA PROPERTIES, INC.",LA DOLCE VITA,17546 Woodward Ave,48203,Retail - On Premises,Class C,Regular,,L-000005677,Active,Y,Y,16
-83.1065646768033,42.4202247880119,3687,"ERIANA PROPERTIES, INC.",LA DOLCE VITA,17546 Woodward Ave,48203,Retail - Off Premises,Specially Designated Merchant,,,L-000248086,Active,Y,Y,17
-83.0562828487055,42.3393109041059,3735,"NEW CASS ENTERPRISES, INC.",HARRY'S BAR,2482 Clifford St,48201,Retail - Off Premises,Specially Designated Merchant,,,L-000001578,Active,Y,Y,18
-83.0562828487055,42.3393109041059,3735,"NEW CASS ENTERPRISES, INC.",HARRY'S BAR,2482 Clifford St,48201,Retail - On Premises,Class C,Regular,,L-000005750,Active,Y,Y,19
-83.0710093515696,42.3316260819216,3769,"PHASE II, INC.",BOBCAT BONNIE'S,1828 Michigan Ave,48216,Retail - On Premises,Class C,Regular,,L-000005800,Active,Y,Y,20
-83.0641213709066,42.4189350398746,3786,BUDDY'S RENDEZVOUS-PIZZARIA LLC,,17125 Conant St,48212,Retail - On Premises,Class C,Regular,,L-000005829,Active,Y,Y,21
-83.0641213709066,42.4189350398746,3786,BUDDY'S RENDEZVOUS-PIZZARIA LLC,,17125 Conant St,48212,Retail - Off Premises,Specially Designated Merchant,,,L-000006636,Active,Y,Y,22
-83.1005730674701,42.307921675953,3800,"CLUB INTERNATIONAL, INC.",CLUB INTERNATIONAL,6060 W Fort St,48209,Retail - On Premises,Class C,Regular,,L-000005849,Escrow,Y,Y,23
-83.2208757575433,42.3580184778803,3874,"FLOYED-JACKSON, ANTHONY",CLUB JOY LOUNGE,18434 Joy Rd,48228,Retail - On Premises,Class C,Regular,,L-000005958,Escrow,Y,Y,24
-83.0501100240267,42.334289150984,3940,DEE & L DEVELOPMENT CORPORATION,D'MONGOS SPEAKEASY,1439 Griswold St,48226,Retail - On Premises,Class C,Regular,,L-000006060,Active,Y,Y,25
-83.0457714280041,42.3370219501195,3942,"MUSIC HALL CENTER FOR THE PERFORMING ARTS, INC.",MUSIC HALL CENTER FOR THE PERFORMING ARTS,350 Madison St,48226,Retail - On Premises,Class C,Regular,,L-000006065,Active,Y,Y,26
-83.0602395592228,42.3510323236985,3974,"MAJESTIC THEATRE CENTER, INC.",THE GARDEN BOWL - MAJESTIC CLUB - ROCK-N-BOWL-MAJESTIC THEATRE CENTER,4138 Woodward Ave,48201,Retail - On Premises,Class C,Regular,,L-000006115,Active,Y,Y,27
-83.1970651285051,42.3611875593311,4084,FRANS INC.,CLUB JOVONNES,9140 Greenfield Rd,48228,Retail - Off Premises,Specially Designated Merchant,,,L-000003276,Active,Y,Y,28
-83.1970651285051,42.3611875593311,4084,FRANS INC.,CLUB JOVONNES,9140 Greenfield Rd,48228,Retail - On Premises,Class C,Regular,,L-000006289,Active,Y,Y,29
-83.0416762448807,42.3353610747793,4123,"J.J.S.V. ENTERPRISES, INC.",PIZZA PAPALIS,559 Monroe St,48226,Retail - On Premises,Class C,Regular,,L-000006345,Active,Y,Y,30
-83.0584014678109,42.3422026104876,4141,ALIBI BUSINESS CORPORATION,TEMPLE BAR,2906 Cass Ave,48201,Retail - On Premises,Class C,Regular,,L-000006377,Active,Y,Y,31
-83.1343356347727,42.3308919501557,4173,"FREER BAR, INC.",FREER BAR,7355 Michigan Ave,48210,Retail - On Premises,Class C,Regular,,L-000006429,Active,Y,Y,32
-83.0783785453573,42.3253881856758,4264,"MEXICAN VILLAGE OF DETROIT, INC.",MEXICAN VILLAGE,2620 Bagley St,48216,Retail - On Premises,Class C,Regular,,L-000006558,Active,Y,Y,33
-83.0870914068076,42.4329879385335,4319,"MAPPS, ROBERT",DISCO 7,1627 E 7 Mile Rd,48203,Retail - On Premises,Class C,Regular,,L-000006640,Active,Y,Y,34
-83.0461914191455,42.337668248295,4360,TWENTIETH CENTURY CLUB INCORPORATED,GEM THEATER/CENTURY CLUB,333 Madison St,48226,Retail - On Premises,Class C,Regular,,L-000006698,Active,Y,Y,35
-83.0527565551769,42.3384668081481,4489,"OLYMPIA ENTERTAINMENT, INC.",FOX THEATRE,2211 Woodward Ave,48201,Retail - On Premises,Class C,Regular,,L-000006894,Active,Y,Y,36
