X,Y,Establishment_ID,Name,Address,Zip_Code,Owner,License_Number,License_Type,Most_Recent_License_Date,Establishment_Type,Status,Restaurant_Complexity_Level,Review_Frequency_in_Days,ObjectId
-83.0486465031389,42.3356963002611,51622592,1509 Populace LLC,1509 Broadway St,48226,Populace Coffee/Andrew Heppner,226550,Fixed Establishment,2019/04/27 00:00:00+00,Food Service Establishment,Open,Medium,365,1
-83.1412773490628,42.43556348333,3928,1917 American Bistro,19416 Livernois,48221,Donald Studvent,065464,Fixed Establishment,2013/04/30 00:00:00+00,Food Service Establishment,Temporarily Closed,High,180,2
-83.1673886632566,42.3796410557673,3153,1st Wok,12555 Grand River Ave #150,48204,Ang Lam,047622,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,3
-83.0487527091583,42.342411485835,5248,234 Winder St. Inn Community Center,2458 Brush St,48201,Mona Ross/ Gardner,217906,Fixed Establishment,2018/05/07 00:00:00+00,Food Service Establishment,Open,Medium,365,4
-83.0484283436789,42.3317104303512,3622,24 Grille,204 Michigan Ave,48226,Bistro 24 LLC,064219,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Permanently Closed,High,180,5
-83.0614323925627,42.351781793535,5276,2941 Street Foods of Midtown,4219 Woodward Ave,48201,Jacques Van Staden,208218,Fixed Establishment,2019/06/12 00:00:00+00,Food Service Establishment,Temporarily Closed,High,180,6
-83.0616724242033,42.3442225974866,51622714,-320 Coffee & Creamery,474 Peterboro Street #201,48201,Nisharth Patel,230540,Fixed Establishment,2018/03/09 00:00:00+00,Food Service Establishment,Open,Medium,365,7
-83.2550907415758,42.3421041081805,542,3 ELEVEN ULTRA LOUNGE,22100 W Warren Ave,48239,,080852,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,8
-83.1849799744102,42.4448894215178,5157,44 Burrito,14015 W Eight Mile Rd,48235,Tara L. Young/ Natasha Jones,082496,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,9
-83.024385056372,42.4356717335283,51622515,4 of a Kind Catering,19153 Van Dyke Ave,48234,Jerold L. Vernon,217899,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,10
-83.0463593798491,42.3340988238,4869,7 Greens,1222 Library St,48226,Kelly Schaefer-Janssen,081153,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,High,180,11
-83.0468483867572,42.3315568858956,5392,800 Parc,800 Woodward Ave,48226,800 Parc LLC,209354,Fixed Establishment,2020/05/11 00:00:00+00,Food Service Establishment,Open,High,180,12
-82.9907458753686,42.3511799001062,2497,8330 on the River,8330 E Jefferson Ave,48214,POAH - Preservation of Afforda,073412,Fixed Establishment,2019/04/26 00:00:00+00,Food Service Establishment,Open,Medium,365,13
-83.1509931831211,42.4458329044374,2079,8 Mile Grill,8003-05 W Eight Mile Rd,48221,Anton Marjauam,071989,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,14
-83.2121629472969,42.3725345461606,5357,A 1 Fish & Chicken LLC,16900 Plymouth,48212,Hnsar M. Almugari,208176,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,,,180,15
-83.118706527169,42.3269398287713,815,Abicks Bar,3500 Gilbert St,4821,Eric Lakeman,034843,Fixed Establishment,2015/05/04 00:00:00+00,Food Service Establishment,Open,Low,365,16
-83.1220985450206,42.3281033737651,51623120,Academy of the Americas Elementary,3811 Cicotte St,48217,Detroit Board of Education,249317,Fixed Establishment,2020/06/01 00:00:00+00,Public School,Open,,210,17
-83.1105430672616,42.3271172382641,51623119,Academy of the Americas High School,5680 Konkel Street,4821,Detroit Board of Education,249316,Fixed Establishment,2020/06/01 00:00:00+00,Public School,Open,,210,18
